Country,%Annual_Growth_imports_goods_services,%Access_Electricity,%Land_Arable,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total).csv",CO2_Metric_tons_/capita,External_debt_stock_%GNI,Fertility_rate_births/woman,/Capita_GDP_Growth(annual),Govt_Expenditure_Education(%GDP),Adult_female_literacy_rate(15 + up),"Literacy rate, adult male (% of males ages 15 and above)",Net migration,Population growth (annual %),Renewable energy consumption (% of total final energy consumption),trade%gdp,Agricultural Land (%Land),"Agriculture, Forest,Fishing, Value Added (%) GDP)",Children in Employment (% Male),High-tech Exports ($),"Industry, Value Added (%GDP)",Population in Slums (% Urban Population),Rural population (% total Population),"School enrollment, primary and secondary (gross), gender parity index",Urban Population (% of total population),Gini
AL,2.995120321,100,22.63868569,3.023108283,1.577162624,63.8430652,1.617,2.676549556,3.611720085,97.76112366,98.51361847,268179.1,1.35,38.61521047,76.89149503,43.12773544,18.47235747,6.4,591717,20.19576373,33.338,1106598,1.018630028,61.229,33.2
DZ,6.9,100,3.108735712,12.98441128,3.69915599,3.290946289,3.023,1.104567921,4.33701992,75.32296753,87.42295837,268179.1,1.933950191,0.058958684,52.02635559,17.36553915,12.38037428,8.466835246,9027398,37.4392387,33.338,11542954,0.994899988,73.189,27.6
AO,11.23310032,43.25925827,3.930376193,59.16227295,1.202860579,63.95804182,5.519,1.219834735,3.421319962,53.4072113,79.97415161,32066,3.242982603,49.56821033,68.85028506,47.47734018,6.660118785,30,98225931,54.41159742,48.59999847,10764270,0.630320013,66.177,51.3
AR,15.58379563,100,14.323873,17.59649448,4.619085482,65.31799847,2.261,1.757648177,5.462230206,99.06204224,98.93773651,24000,0.993397493,10.04007761,32.62764373,54.33571212,6.088397131,6.394649,561915854,23.40985342,14.69999981,3599141,1.019629955,91.991,41.4
AM,12.00824984,100,15.67966259,6.69449891,1.755976031,85.51756981,1.755,7.383361636,2.707590103,99.67716217,99.80549622,268179.1,0.201539723,15.79200384,95.73718089,58.89708637,11.98835603,12,45646416,24.28740021,9.300000191,1087883,1.03489995,63.219,34.4
AU,0.211224102,100,5.986463894,4.941054322,15.53922046,51.53456,1.74,0.623892342,5.124249935,4.49542,87.8896,791229,1.515984454,9.18050296,45.71045947,48.24194425,2.121596985,21,6411061180,25.38244874,33.338,3519751,0.968850017,86.124,34.4
AT,2.447549398,100,16.29230665,3.569978616,7.033335706,51.53456,1.47,1.001203453,5.358039856,4.49542,87.8896,324998,0.412539809,34.39499175,107.779782,32.35667614,1.085623332,21,15989939763,25.52425292,33.338,3683835,0.97408998,58.515,29.7
AZ,4.130862352,100,24.18047659,5.988189042,3.855347182,34.44558034,1.73,1.366684408,2.455430031,99.72199249,99.86374664,6002,0.837019639,2.310757686,86.04387801,57.73557518,5.716874181,5.8,28035272,48.68598572,33.338,4407577,1.010730028,56.031,26.6
BD,27.01246674,85.16042328,59.64669249,22.61283722,0.533298791,18.01420028,2.036,7.031583836,1.326320052,71.94838715,77.44149017,268179.1,1.042001128,34.74706901,36.75929975,70.63232666,12.68027164,5.72861,93608711,29.64867881,47.20000076,102058744,1.115910053,37.405,32.4
BY,5.186403602,100,28.00066795,1.608653743,6.133707568,66.53985152,1.448,1.400047931,4.794990063,99.72518158,99.79398346,43648,0.12551111,6.770869532,133.3459895,42.03548913,6.784527975,2,756914800,31.29630009,33.20000076,1973604,0.990570009,79.044,25.2
